word	gold	pred1	predict
What	_	False	_
if	_	False	_
Google	ARG1	False	_
Morphed	_	False	_
Into	_	False	_
GoogleOS	ARG2	False	_
?	_	False	_
What	_	False	_
if	_	False	_
Google	ARG0	False	_
expanded	_	False	_
on	_	False	_
its	_	False	_
search	_	False	_
-	_	False	_
engine	_	False	_
(	_	False	_
and	_	False	_
now	_	False	_
e-mail	_	False	_
)	_	False	_
wares	ARG1	False	_
into	_	False	_
a	_	False	_
full	_	False	_
-	_	False	_
fledged	_	False	_
operating	_	False	_
system	ARG4	False	_
?	_	False	_
[	_	False	_
via	_	False	_
Microsoft	_	False	_
Watch	_	False	_
from	_	False	_
Mary	_	False	_
Jo	_	False	_
Foley	_	False	_
]	_	False	_
(	_	False	_
And	_	False	_
,	_	False	_
by	_	False	_
the	_	False	_
way	_	False	_
,	_	False	_
is	_	False	_
anybody	_	False	_
else	_	False	_
just	_	False	_
a	_	False	_
little	_	False	_
nostalgic	_	False	_
for	_	False	_
the	_	False	_
days	_	False	_
when	_	False	_
that	_	False	_
was	_	False	_
a	_	False	_
good	_	False	_
thing	_	False	_
?	_	False	_
)	_	False	_
(	_	False	_
And	_	False	_
,	_	False	_
by	_	False	_
the	_	False	_
way	ARGM-DIS	False	_
,	_	False	_
is	_	False	_
anybody	ARG1	False	_
else	_	False	_
just	_	False	_
a	_	False	_
little	_	False	_
nostalgic	ARG2	False	_
for	_	False	_
the	_	False	_
days	_	False	_
when	_	False	_
that	_	False	_
was	_	False	_
a	_	False	_
good	_	False	_
thing	_	False	_
?	_	False	_
)	_	False	_
(	_	False	_
And	_	False	_
,	_	False	_
by	_	False	_
the	_	False	_
way	_	False	_
,	_	False	_
is	_	False	_
anybody	_	False	_
else	_	False	_
just	_	False	_
a	_	False	_
little	_	False	_
nostalgic	_	False	_
for	_	False	_
the	_	False	_
days	ARGM-TMP	False	_
when	R-ARGM-TMP	False	_
that	ARG1	False	_
was	_	False	_
a	_	False	_
good	_	False	_
thing	ARG2	False	_
?	_	False	_
)	_	False	_
This	_	False	_
BuzzMachine	ARG2	False	_
post	_	False	_
argues	_	False	_
that	_	False	_
Google	_	False	_
's	_	False	_
rush	_	False	_
toward	_	False	_
ubiquity	_	False	_
might	_	False	_
backfire	_	False	_
--	_	False	_
which	_	False	_
we	_	False	_
've	_	False	_
all	_	False	_
heard	_	False	_
before	_	False	_
,	_	False	_
but	_	False	_
it	_	False	_
's	_	False	_
particularly	_	False	_
well	_	False	_
-	_	False	_
put	_	False	_
in	_	False	_
this	_	False	_
post	_	False	_
.	_	False	_
This	_	False	_
BuzzMachine	_	False	_
post	ARG0	False	_
argues	_	False	_
that	_	False	_
Google	_	False	_
's	_	False	_
rush	_	False	_
toward	_	False	_
ubiquity	_	False	_
might	_	False	_
backfire	ARG1	False	_
--	_	False	_
which	_	False	_
we	_	False	_
've	_	False	_
all	_	False	_
heard	_	False	_
before	_	False	_
,	_	False	_
but	_	False	_
it	_	False	_
's	_	False	_
particularly	_	False	_
well	_	False	_
-	_	False	_
put	_	False	_
in	_	False	_
this	_	False	_
post	_	False	_
.	_	False	_
This	_	False	_
BuzzMachine	_	False	_
post	_	False	_
argues	_	False	_
that	_	False	_
Google	ARG1	False	_
's	_	False	_
rush	_	False	_
toward	_	False	_
ubiquity	ARG2	False	_
might	_	False	_
backfire	_	False	_
--	_	False	_
which	_	False	_
we	_	False	_
've	_	False	_
all	_	False	_
heard	_	False	_
before	_	False	_
,	_	False	_
but	_	False	_
it	_	False	_
's	_	False	_
particularly	_	False	_
well	_	False	_
-	_	False	_
put	_	False	_
in	_	False	_
this	_	False	_
post	_	False	_
.	_	False	_
This	_	False	_
BuzzMachine	_	False	_
post	_	False	_
argues	_	False	_
that	_	False	_
Google	_	False	_
's	_	False	_
rush	ARG1	False	_
toward	_	False	_
ubiquity	_	False	_
might	ARGM-MOD	False	_
backfire	_	False	_
--	_	False	_
which	_	False	_
we	_	False	_
've	_	False	_
all	_	False	_
heard	ARGM-ADV	False	_
before	_	False	_
,	_	False	_
