word	gold	predict
Al	_	_
-	_	_
Zaman	_	_
:	_	_
American	_	_
forces	ARG0	_
killed	_	_
Shaikh	ARG1	_
Abdullah	_	_
al	_	_
-	_	_
Ani	_	_
,	_	_
the	_	_
preacher	_	_
at	_	_
the	_	_
mosque	ARGM-LOC	_
in	_	_
the	_	_
town	_	_
of	_	_
Qaim	_	_
,	_	_
near	_	_
the	_	_
Syrian	_	_
border	_	_
.	_	_
[	_	_
This	_	_
killing	_	_
of	_	_
a	_	_
respected	_	_
cleric	ARG1	_
will	_	_
be	_	_
causing	_	_
us	_	_
trouble	_	_
for	_	_
years	_	_
to	_	_
come	_	_
.	_	_
]	_	_
[	_	_
This	_	_
killing	_	_
of	_	_
a	_	_
respected	_	_
cleric	_	_
will	_	_
be	_	_
causing	_	_
us	_	_
trouble	_	_
for	_	_
years	_	_
to	_	_
come	_	_
.	_	_
]	_	_
[	_	_
This	_	_
killing	ARG0	_
of	_	_
a	_	_
respected	_	_
cleric	_	_
will	ARGM-MOD	_
be	_	_
causing	_	_
us	ARGM-GOL	_
trouble	ARG1	_
for	_	_
years	ARGM-TMP	_
to	_	_
come	_	_
.	_	_
]	_	_
[	_	_
This	_	_
killing	_	_
of	_	_
a	_	_
respected	_	_
cleric	_	_
will	_	_
be	_	_
causing	_	_
us	_	_
trouble	_	_
for	_	_
years	ARG1	_
to	_	_
come	_	_
.	_	_
]	_	_
DPA	_	_
:	_	_
Iraqi	_	_
authorities	ARG0	_
announced	_	_
that	_	_
they	_	_
had	_	_
busted	ARG1	_
up	_	_
3	_	_
terrorist	_	_
cells	_	_
operating	_	_
in	_	_
Baghdad	_	_
.	_	_
DPA	_	_
:	_	_
Iraqi	_	_
authorities	_	_
announced	_	_
that	_	_
they	_	_
had	_	_
busted	_	_
up	_	_
3	_	_
terrorist	_	_
cells	_	_
operating	_	_
in	_	_
Baghdad	_	_
.	_	_
DPA	_	_
:	_	_
Iraqi	_	_
authorities	_	_
announced	_	_
that	_	_
they	ARG0	_
had	_	_
busted	_	_
up	_	_
3	_	_
terrorist	_	_
cells	ARG1	_
operating	_	_
in	_	_
Baghdad	_	_
.	_	_
DPA	_	_
:	_	_
Iraqi	_	_
authorities	_	_
announced	_	_
that	_	_
they	_	_
had	_	_
busted	_	_
up	_	_
3	_	_
terrorist	_	_
cells	ARG0	_
operating	_	_
in	_	_
Baghdad	ARGM-LOC	_
.	_	_
Two	_	_
of	_	_
them	_	_
were	_	_
being	_	_
